#t,tx,ty,tz,qx,qy,qz,qw
0,-0.5,-0.5,-0.5,-0.041635554844335,-0.0454372349483588,-0.041635554844335,0.997230373998835
0.00499968,-0.501260201486573,-0.501259789436217,-0.501244051595078,-0.0415770259934092,-0.0454204389390863,-0.0415499799913366,0.997237150229996
0.009999872,-0.502544967808947,-0.502539819290138,-0.502481206380591,-0.041512848135823,-0.0453592057235413,-0.0414873157368526,0.99724521985755
0.014999808,-0.503856303095973,-0.503841720376725,-0.503716043433543,-0.0414510404700629,-0.0452964032203348,-0.0414254830830135,0.997253215813611
0.02,-0.505193882340723,-0.505164306391987,-0.504948726916469,-0.041389204025042,-0.0452341752877584,-0.0413623099233445,0.997261230818693
0.02499968,-0.50655764114014,-0.506508172005789,-0.506179205590268,-0.0413279944543544,-0.0451706708403706,-0.0412999639028124,0.997269231627968
0.029999872,-0.507947507138746,-0.507873757943414,-0.507405703981069,-0.0412653769634605,-0.0451087192021977,-0.0412386638543776,0.997277165445748
0.034999808,-0.509364502364911,-0.509259895178118,-0.508631122148735,-0.0412021131389307,-0.0450455134847703,-0.0411762800341014,0.9972852157484
0.04,-0.510806938149562,-0.510667163301512,-0.509853967649514,-0.041142482882979,-0.0449819298160337,-0.0411140580517334,0.997293114546956
0.04499968,-0.512275602569662,-0.512096226355753,-0.511073387251708,-0.0410816023978899,-0.0449181732710173,-0.0410506139652669,0.997301111373837
0.049999872,-0.513764711888115,-0.513560161501677,-0.51230618922428,-0.0410218071202019,-0.0448429212322946,-0.0410098189918159,0.997308637535144
0.054999808,-0.51528608150589,-0.515034878956677,-0.513524868393443,-0.0409602030700717,-0.0447813078870583,-0.0409463910363847,0.997316544177163
0.059999744,-0.516833632699378,-0.51652969682526,-0.514740785745401,-0.0408982483614735,-0.0447181404827949,-0.0408837814966908,0.997324489623741
0.06499968,-0.518406719869913,-0.518046329906208,-0.51595539609141,-0.0408375854986526,-0.0446550924696693,-0.0408217495636038,0.997332341343512
0.069999872,-0.520005298809113,-0.519583421357393,-0.517165882129486,-0.0407746773199465,-0.0445914731555679,-0.0407611469501307,0.997340240394711
0.074999808,-0.521630423960094,-0.521141117468617,-0.518375006425113,-0.0407122821695088,-0.0445284600581158,-0.0406993731101073,0.997348127462947
0.079999744,-0.523281199619722,-0.5227204299594,-0.51958162135019,-0.0406516723789613,-0.0444646800668873,-0.0406366615589489,0.997356002386653
0.084999936,-0.524957730665017,-0.524319817244511,-0.520786547995049,-0.0405904462604544,-0.04440149313076,-0.0405732960897355,0.997363890826488
0.089999872,-0.526661084082472,-0.525941379280243,-0.521989057620509,-0.0405286324668812,-0.0443398580122449,-0.0405114943858892,0.997371658793471
0.095000064,-0.528385519665378,-0.527593633034074,-0.523198514275235,-0.0404658815977111,-0.0442655214534091,-0.0404702814507962,0.997379181834206
0.099999744,-0.5301387591667,-0.529258583534228,-0.524398207046766,-0.0404048814874882,-0.0442030725266542,-0.0404070922630374,0.997386986493222
0.104999936,-0.531918132860259,-0.530945040985936,-0.525595134257859,-0.0403439976059534,-0.0441405554408168,-0.0403437590975199,0.997394783585932
0.109999872,-0.533722574649901,-0.532650581205383,-0.526790126293551,-0.0402828549663322,-0.0440777958328052,-0.0402805911406675,0.997402583457473
0.114999808,-0.535552780699386,-0.534378044137341,-0.527982455824224,-0.0402211369348476,-0.0440147382960638,-0.0402188457267778,0.997410350560291
0.119999744,-0.537409539910088,-0.536126429237091,-0.529172529178389,-0.0401599221104476,-0.0439501435855931,-0.0401578159808039,0.99741812463507
0.124999936,-0.539291651436914,-0.53789501637659,-0.530361202826713,-0.0400965427512102,-0.0438873493829052,-0.0400969373172127,0.997425888696159
0.129999872,-0.541199770768757,-0.539684694056704,-0.531546878754879,-0.0400334315857063,-0.0438256450595404,-0.0400345600368118,0.997433642501218
0.134999808,-0.543133689311218,-0.541495103666898,-0.532731184776205,-0.0399704548726424,-0.0437647086958368,-0.0399709070021946,0.997441396575992
0.139999744,-0.545093073562082,-0.543325577146582,-0.533912794654158,-0.0399092179565945,-0.0437041306096457,-0.0399062840323357,0.997449092327262
0.144999936,-0.547077845152162,-0.545176657502565,-0.535092738841038,-0.0398468069864598,-0.0436426470262636,-0.0398423506413614,0.997456835371283
0.149999872,-0.549077556709485,-0.547061147131177,-0.536280000581632,-0.0397867742053874,-0.0435666910352149,-0.0398025612667466,0.997464140782604
0.154999808,-0.551110621622839,-0.54895509642869,-0.537456602833189,-0.0397259217556276,-0.0435012960775423,-0.039741356876417,0.997471860722828
0.159999744,-0.553168649370508,-0.550869860879386,-0.538630527088159,-0.0396677770706973,-0.0434354497217791,-0.0396790228960215,0.997479525760681
0.164999936,-0.555252758484864,-0.552805454138094,-0.539802338431358,-0.0396065275187984,-0.0433713287790216,-0.039618151020884,0.997487169304714
0.169999872,-0.557361776200935,-0.55476072856792,-0.540971827305956,-0.0395449514650415,-0.0433081570104658,-0.039555962763778,0.997494825129341
0.174999808,-0.55949717432657,-0.556737136952899,-0.542139918762634,-0.0394823962781562,-0.0432477782741817,-0.039491564136092,0.997502474393205
0.179999744,-0.561658129884349,-0.558734763898868,-0.543305419321502,-0.039416421359109,-0.0431900199269667,-0.039427142839842,0.997510134441468
0.184999936,-0.563843979728642,-0.560752044661598,-0.544468310341865,-0.0393496896909074,-0.0431326254025256,-0.0393638800354819,0.997517750967704
0.189999872,-0.566054340660438,-0.562789342072454,-0.545628339301798,-0.0392844891839192,-0.0430743768680762,-0.0393008920838848,0.997525321407129
0.194999808,-0.568289421721072,-0.564846134312787,-0.546786298276544,-0.0392174049585914,-0.0430139913997191,-0.0392402360878925,0.997532954625533
0.199999744,-0.570548241058908,-0.566923411051882,-0.547940158597283,-0.039149051763264,-0.0429518412331762,-0.0391843021310166,0.997540516243437
0.204999936,-0.572832845636122,-0.569020908202457,-0.549092474657314,-0.0390826800390475,-0.0428863938167324,-0.0391288440253681,0.997548111577382
0.209999872,-0.575142801199558,-0.571139262726881,-0.550241856416736,-0.0390158795588137,-0.0428210903114385,-0.0390743967007456,0.997555666060428
0.214999808,-0.577478504762206,-0.573278301703769,-0.551390695748226,-0.0389467941275279,-0.0427577094088091,-0.0390203821016712,0.997563198646552
0.22,-0.579841723393994,-0.575438292354468,-0.552538454821554,-0.0388738071628614,-0.0426998131654624,-0.0389631660177146,0.997570761783933
0.224999936,-0.582231629060603,-0.577616847413956,-0.553687774774725,-0.0388064054034749,-0.0426454294733265,-0.0388976312380961,0.997578269875984
0.229999872,-0.584646635946264,-0.579816136599891,-0.554836227535406,-0.0387443197248367,-0.0425932733597388,-0.0388238585192088,0.997585785164986
